"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6967","annotatedStepTest()","","Thu Jun 12 22:48:06 GMT 2025","passed","Thu Jun 12 22:48:13 GMT 2025","","tests.TestForAllure","tests.TestForAllure","annotatedStepTest"
"","1","Проверка наличия pull-request в репозитории","","Thu Jun 12 22:48:13 GMT 2025","passed","Thu Jun 12 22:48:13 GMT 2025","","tests.LabelsTest","tests.LabelsTest","staticLabelsTest"
"","142","openSite()","","Thu Jun 12 22:47:49 GMT 2025","passed","Thu Jun 12 22:47:49 GMT 2025","","tests.BaseTest","tests.BaseTest","openSite"
"","1","Проверка наличия pull-request в репозитории","","Thu Jun 12 22:48:13 GMT 2025","passed","Thu Jun 12 22:48:13 GMT 2025","","tests.LabelsTest","tests.LabelsTest","dynamicLabelsTest"
"","9548","easySelenideSeacrhOnGitHubTest()","","Thu Jun 12 22:47:49 GMT 2025","passed","Thu Jun 12 22:47:59 GMT 2025","","tests.TestForAllure","tests.TestForAllure","easySelenideSeacrhOnGitHubTest"
"","7221","selenideSearchOnGitHubWithLambdaStepsTest()","","Thu Jun 12 22:47:59 GMT 2025","passed","Thu Jun 12 22:48:06 GMT 2025","","tests.TestForAllure","tests.TestForAllure","selenideSearchOnGitHubWithLambdaStepsTest"
