"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7089","lambdaAttachmentsTest()","","Wed Jul 09 09:46:47 GMT 2025","passed","Wed Jul 09 09:46:54 GMT 2025","","tests.AttachmentStepsTests","tests.AttachmentStepsTests","lambdaAttachmentsTest"
"","6983","annotatedStepTest()","","Wed Jul 09 09:46:33 GMT 2025","passed","Wed Jul 09 09:46:40 GMT 2025","","tests.TestForAllure","tests.TestForAllure","annotatedStepTest"
"","7443","selenideSearchOnGitHubWithLambdaStepsTest()","","Wed Jul 09 09:46:25 GMT 2025","passed","Wed Jul 09 09:46:33 GMT 2025","","tests.TestForAllure","tests.TestForAllure","selenideSearchOnGitHubWithLambdaStepsTest"
"","2","Проверка наличия pull-request в репозитории","","Wed Jul 09 09:46:40 GMT 2025","passed","Wed Jul 09 09:46:40 GMT 2025","","tests.LabelsTest","tests.LabelsTest","dynamicLabelsTest"
"","7233","annotatedAttachmentsTest()","","Wed Jul 09 09:46:40 GMT 2025","passed","Wed Jul 09 09:46:47 GMT 2025","","tests.AttachmentStepsTests","tests.AttachmentStepsTests","annotatedAttachmentsTest"
"","1","Проверка наличия pull-request в репозитории","","Wed Jul 09 09:46:40 GMT 2025","passed","Wed Jul 09 09:46:40 GMT 2025","","tests.LabelsTest","tests.LabelsTest","staticLabelsTest"
"","10568","easySelenideSeacrhOnGitHubTest()","","Wed Jul 09 09:46:15 GMT 2025","passed","Wed Jul 09 09:46:25 GMT 2025","","tests.TestForAllure","tests.TestForAllure","easySelenideSeacrhOnGitHubTest"
