"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7136","annotatedStepTest()","","Sun Jun 22 11:45:23 GMT 2025","passed","Sun Jun 22 11:45:30 GMT 2025","","tests.TestForAllure","tests.TestForAllure","annotatedStepTest"
"","1","Проверка наличия pull-request в репозитории","","Sun Jun 22 11:45:30 GMT 2025","passed","Sun Jun 22 11:45:30 GMT 2025","","tests.LabelsTest","tests.LabelsTest","staticLabelsTest"
"","1","Проверка наличия pull-request в репозитории","","Sun Jun 22 11:45:30 GMT 2025","passed","Sun Jun 22 11:45:30 GMT 2025","","tests.LabelsTest","tests.LabelsTest","dynamicLabelsTest"
"","10698","easySelenideSeacrhOnGitHubTest()","","Sun Jun 22 11:45:05 GMT 2025","passed","Sun Jun 22 11:45:15 GMT 2025","","tests.TestForAllure","tests.TestForAllure","easySelenideSeacrhOnGitHubTest"
"","7210","lambdaAttachmentsTest()","","Sun Jun 22 11:45:38 GMT 2025","passed","Sun Jun 22 11:45:45 GMT 2025","","tests.AttachmentStepsTests","tests.AttachmentStepsTests","lambdaAttachmentsTest"
"","7359","annotatedAttachmentsTest()","","Sun Jun 22 11:45:30 GMT 2025","passed","Sun Jun 22 11:45:38 GMT 2025","","tests.AttachmentStepsTests","tests.AttachmentStepsTests","annotatedAttachmentsTest"
"","7352","selenideSearchOnGitHubWithLambdaStepsTest()","","Sun Jun 22 11:45:16 GMT 2025","passed","Sun Jun 22 11:45:23 GMT 2025","","tests.TestForAllure","tests.TestForAllure","selenideSearchOnGitHubWithLambdaStepsTest"
