"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7437","selenideSearchOnGitHubWithLambdaStepsTest()","","Mon Jun 30 10:28:20 GMT 2025","passed","Mon Jun 30 10:28:28 GMT 2025","","tests.TestForAllure","tests.TestForAllure","selenideSearchOnGitHubWithLambdaStepsTest"
"","2","Проверка наличия pull-request в репозитории","","Mon Jun 30 10:28:35 GMT 2025","passed","Mon Jun 30 10:28:35 GMT 2025","","tests.LabelsTest","tests.LabelsTest","staticLabelsTest"
"","7190","annotatedAttachmentsTest()","","Mon Jun 30 10:28:35 GMT 2025","passed","Mon Jun 30 10:28:42 GMT 2025","","tests.AttachmentStepsTests","tests.AttachmentStepsTests","annotatedAttachmentsTest"
"","7092","annotatedStepTest()","","Mon Jun 30 10:28:28 GMT 2025","passed","Mon Jun 30 10:28:35 GMT 2025","","tests.TestForAllure","tests.TestForAllure","annotatedStepTest"
"","1","Проверка наличия pull-request в репозитории","","Mon Jun 30 10:28:35 GMT 2025","passed","Mon Jun 30 10:28:35 GMT 2025","","tests.LabelsTest","tests.LabelsTest","dynamicLabelsTest"
"","10536","easySelenideSeacrhOnGitHubTest()","","Mon Jun 30 10:28:10 GMT 2025","passed","Mon Jun 30 10:28:20 GMT 2025","","tests.TestForAllure","tests.TestForAllure","easySelenideSeacrhOnGitHubTest"
"","7086","lambdaAttachmentsTest()","","Mon Jun 30 10:28:42 GMT 2025","passed","Mon Jun 30 10:28:49 GMT 2025","","tests.AttachmentStepsTests","tests.AttachmentStepsTests","lambdaAttachmentsTest"
