"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10370","easySelenideSeacrhOnGitHubTest()","","Sun Jun 22 10:39:40 GMT 2025","passed","Sun Jun 22 10:39:50 GMT 2025","","tests.TestForAllure","tests.TestForAllure","easySelenideSeacrhOnGitHubTest"
"","1","Проверка наличия pull-request в репозитории","","Sun Jun 22 10:40:05 GMT 2025","passed","Sun Jun 22 10:40:05 GMT 2025","","tests.LabelsTest","tests.LabelsTest","staticLabelsTest"
"","7148","lambdaAttachmentsTest()","","Sun Jun 22 10:40:13 GMT 2025","passed","Sun Jun 22 10:40:20 GMT 2025","","tests.AttachmentStepsTests","tests.AttachmentStepsTests","lambdaAttachmentsTest"
"","7087","annotatedStepTest()","","Sun Jun 22 10:39:58 GMT 2025","passed","Sun Jun 22 10:40:05 GMT 2025","","tests.TestForAllure","tests.TestForAllure","annotatedStepTest"
"","7514","selenideSearchOnGitHubWithLambdaStepsTest()","","Sun Jun 22 10:39:51 GMT 2025","passed","Sun Jun 22 10:39:58 GMT 2025","","tests.TestForAllure","tests.TestForAllure","selenideSearchOnGitHubWithLambdaStepsTest"
"","7324","annotatedAttachmentsTest()","","Sun Jun 22 10:40:05 GMT 2025","passed","Sun Jun 22 10:40:13 GMT 2025","","tests.AttachmentStepsTests","tests.AttachmentStepsTests","annotatedAttachmentsTest"
"","5","Проверка наличия pull-request в репозитории","","Sun Jun 22 10:40:05 GMT 2025","passed","Sun Jun 22 10:40:05 GMT 2025","","tests.LabelsTest","tests.LabelsTest","dynamicLabelsTest"
