"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7099","annotatedStepTest()","","Sun Jun 22 18:37:02 GMT 2025","passed","Sun Jun 22 18:37:09 GMT 2025","","tests.TestForAllure","tests.TestForAllure","annotatedStepTest"
"","7387","annotatedAttachmentsTest()","","Sun Jun 22 18:37:09 GMT 2025","passed","Sun Jun 22 18:37:16 GMT 2025","","tests.AttachmentStepsTests","tests.AttachmentStepsTests","annotatedAttachmentsTest"
"","6981","lambdaAttachmentsTest()","","Sun Jun 22 18:37:16 GMT 2025","passed","Sun Jun 22 18:37:23 GMT 2025","","tests.AttachmentStepsTests","tests.AttachmentStepsTests","lambdaAttachmentsTest"
"","2","Проверка наличия pull-request в репозитории","","Sun Jun 22 18:37:09 GMT 2025","passed","Sun Jun 22 18:37:09 GMT 2025","","tests.LabelsTest","tests.LabelsTest","staticLabelsTest"
"","2","Проверка наличия pull-request в репозитории","","Sun Jun 22 18:37:09 GMT 2025","passed","Sun Jun 22 18:37:09 GMT 2025","","tests.LabelsTest","tests.LabelsTest","dynamicLabelsTest"
"","10482","easySelenideSeacrhOnGitHubTest()","","Sun Jun 22 18:36:44 GMT 2025","passed","Sun Jun 22 18:36:54 GMT 2025","","tests.TestForAllure","tests.TestForAllure","easySelenideSeacrhOnGitHubTest"
"","7319","selenideSearchOnGitHubWithLambdaStepsTest()","","Sun Jun 22 18:36:54 GMT 2025","passed","Sun Jun 22 18:37:02 GMT 2025","","tests.TestForAllure","tests.TestForAllure","selenideSearchOnGitHubWithLambdaStepsTest"
