"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7184","annotatedAttachmentsTest()","","Fri Jun 27 10:15:45 GMT 2025","passed","Fri Jun 27 10:15:52 GMT 2025","","tests.AttachmentStepsTests","tests.AttachmentStepsTests","annotatedAttachmentsTest"
"","1","Проверка наличия pull-request в репозитории","","Fri Jun 27 10:15:45 GMT 2025","passed","Fri Jun 27 10:15:45 GMT 2025","","tests.LabelsTest","tests.LabelsTest","dynamicLabelsTest"
"","6888","annotatedStepTest()","","Fri Jun 27 10:15:38 GMT 2025","passed","Fri Jun 27 10:15:45 GMT 2025","","tests.TestForAllure","tests.TestForAllure","annotatedStepTest"
"","1","Проверка наличия pull-request в репозитории","","Fri Jun 27 10:15:45 GMT 2025","passed","Fri Jun 27 10:15:45 GMT 2025","","tests.LabelsTest","tests.LabelsTest","staticLabelsTest"
"","6965","lambdaAttachmentsTest()","","Fri Jun 27 10:15:52 GMT 2025","passed","Fri Jun 27 10:15:59 GMT 2025","","tests.AttachmentStepsTests","tests.AttachmentStepsTests","lambdaAttachmentsTest"
"","7441","selenideSearchOnGitHubWithLambdaStepsTest()","","Fri Jun 27 10:15:30 GMT 2025","passed","Fri Jun 27 10:15:38 GMT 2025","","tests.TestForAllure","tests.TestForAllure","selenideSearchOnGitHubWithLambdaStepsTest"
"","10332","easySelenideSeacrhOnGitHubTest()","","Fri Jun 27 10:15:20 GMT 2025","passed","Fri Jun 27 10:15:30 GMT 2025","","tests.TestForAllure","tests.TestForAllure","easySelenideSeacrhOnGitHubTest"
