"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8262","annotatedAttachmentsTest()","","Sun Jun 29 09:59:49 GMT 2025","passed","Sun Jun 29 09:59:57 GMT 2025","","tests.AttachmentStepsTests","tests.AttachmentStepsTests","annotatedAttachmentsTest"
"","1","Проверка наличия pull-request в репозитории","","Sun Jun 29 09:59:49 GMT 2025","passed","Sun Jun 29 09:59:49 GMT 2025","","tests.LabelsTest","tests.LabelsTest","staticLabelsTest"
"","10540","easySelenideSeacrhOnGitHubTest()","","Sun Jun 29 09:59:24 GMT 2025","passed","Sun Jun 29 09:59:35 GMT 2025","","tests.TestForAllure","tests.TestForAllure","easySelenideSeacrhOnGitHubTest"
"","7369","selenideSearchOnGitHubWithLambdaStepsTest()","","Sun Jun 29 09:59:35 GMT 2025","passed","Sun Jun 29 09:59:42 GMT 2025","","tests.TestForAllure","tests.TestForAllure","selenideSearchOnGitHubWithLambdaStepsTest"
"","5","Проверка наличия pull-request в репозитории","","Sun Jun 29 09:59:49 GMT 2025","passed","Sun Jun 29 09:59:49 GMT 2025","","tests.LabelsTest","tests.LabelsTest","dynamicLabelsTest"
"","7001","lambdaAttachmentsTest()","","Sun Jun 29 09:59:57 GMT 2025","passed","Sun Jun 29 10:00:04 GMT 2025","","tests.AttachmentStepsTests","tests.AttachmentStepsTests","lambdaAttachmentsTest"
"","7009","annotatedStepTest()","","Sun Jun 29 09:59:42 GMT 2025","passed","Sun Jun 29 09:59:49 GMT 2025","","tests.TestForAllure","tests.TestForAllure","annotatedStepTest"
