"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7203","annotatedStepTest()","","Tue Jul 01 09:45:54 GMT 2025","passed","Tue Jul 01 09:46:02 GMT 2025","","tests.TestForAllure","tests.TestForAllure","annotatedStepTest"
"","2","Проверка наличия pull-request в репозитории","","Tue Jul 01 09:46:02 GMT 2025","passed","Tue Jul 01 09:46:02 GMT 2025","","tests.LabelsTest","tests.LabelsTest","dynamicLabelsTest"
"","10673","easySelenideSeacrhOnGitHubTest()","","Tue Jul 01 09:45:36 GMT 2025","passed","Tue Jul 01 09:45:47 GMT 2025","","tests.TestForAllure","tests.TestForAllure","easySelenideSeacrhOnGitHubTest"
"","7297","annotatedAttachmentsTest()","","Tue Jul 01 09:46:02 GMT 2025","passed","Tue Jul 01 09:46:09 GMT 2025","","tests.AttachmentStepsTests","tests.AttachmentStepsTests","annotatedAttachmentsTest"
"","7191","lambdaAttachmentsTest()","","Tue Jul 01 09:46:09 GMT 2025","passed","Tue Jul 01 09:46:16 GMT 2025","","tests.AttachmentStepsTests","tests.AttachmentStepsTests","lambdaAttachmentsTest"
"","2","Проверка наличия pull-request в репозитории","","Tue Jul 01 09:46:02 GMT 2025","passed","Tue Jul 01 09:46:02 GMT 2025","","tests.LabelsTest","tests.LabelsTest","staticLabelsTest"
"","7283","selenideSearchOnGitHubWithLambdaStepsTest()","","Tue Jul 01 09:45:47 GMT 2025","passed","Tue Jul 01 09:45:54 GMT 2025","","tests.TestForAllure","tests.TestForAllure","selenideSearchOnGitHubWithLambdaStepsTest"
