"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Pull-request в репозитории","1","0","Проверка pull-requests","0"
"0","","4","","1","0","","0"
"0","","0","Pull-request в репозитории (2)","1","0","Проверка pull-requests (2)","0"
