"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7627","selenideSearchOnGitHubWithLambdaStepsTest()","","Sun Jun 22 10:46:11 GMT 2025","passed","Sun Jun 22 10:46:19 GMT 2025","","tests.TestForAllure","tests.TestForAllure","selenideSearchOnGitHubWithLambdaStepsTest"
"","6896","lambdaAttachmentsTest()","","Sun Jun 22 10:46:33 GMT 2025","passed","Sun Jun 22 10:46:40 GMT 2025","","tests.AttachmentStepsTests","tests.AttachmentStepsTests","lambdaAttachmentsTest"
"","7123","annotatedStepTest()","","Sun Jun 22 10:46:19 GMT 2025","passed","Sun Jun 22 10:46:26 GMT 2025","","tests.TestForAllure","tests.TestForAllure","annotatedStepTest"
"","1","Проверка наличия pull-request в репозитории","","Sun Jun 22 10:46:26 GMT 2025","passed","Sun Jun 22 10:46:26 GMT 2025","","tests.LabelsTest","tests.LabelsTest","staticLabelsTest"
"","7180","annotatedAttachmentsTest()","","Sun Jun 22 10:46:26 GMT 2025","passed","Sun Jun 22 10:46:33 GMT 2025","","tests.AttachmentStepsTests","tests.AttachmentStepsTests","annotatedAttachmentsTest"
"","2","Проверка наличия pull-request в репозитории","","Sun Jun 22 10:46:26 GMT 2025","passed","Sun Jun 22 10:46:26 GMT 2025","","tests.LabelsTest","tests.LabelsTest","dynamicLabelsTest"
"","10184","easySelenideSeacrhOnGitHubTest()","","Sun Jun 22 10:46:01 GMT 2025","passed","Sun Jun 22 10:46:11 GMT 2025","","tests.TestForAllure","tests.TestForAllure","easySelenideSeacrhOnGitHubTest"
