"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7078","annotatedStepTest()","","Mon Jun 30 09:46:33 GMT 2025","passed","Mon Jun 30 09:46:40 GMT 2025","","tests.TestForAllure","tests.TestForAllure","annotatedStepTest"
"","7224","selenideSearchOnGitHubWithLambdaStepsTest()","","Mon Jun 30 09:46:26 GMT 2025","passed","Mon Jun 30 09:46:33 GMT 2025","","tests.TestForAllure","tests.TestForAllure","selenideSearchOnGitHubWithLambdaStepsTest"
"","7387","annotatedAttachmentsTest()","","Mon Jun 30 09:46:40 GMT 2025","passed","Mon Jun 30 09:46:48 GMT 2025","","tests.AttachmentStepsTests","tests.AttachmentStepsTests","annotatedAttachmentsTest"
"","3","Проверка наличия pull-request в репозитории","","Mon Jun 30 09:46:40 GMT 2025","passed","Mon Jun 30 09:46:40 GMT 2025","","tests.LabelsTest","tests.LabelsTest","dynamicLabelsTest"
"","7227","lambdaAttachmentsTest()","","Mon Jun 30 09:46:48 GMT 2025","passed","Mon Jun 30 09:46:55 GMT 2025","","tests.AttachmentStepsTests","tests.AttachmentStepsTests","lambdaAttachmentsTest"
"","10365","easySelenideSeacrhOnGitHubTest()","","Mon Jun 30 09:46:15 GMT 2025","passed","Mon Jun 30 09:46:26 GMT 2025","","tests.TestForAllure","tests.TestForAllure","easySelenideSeacrhOnGitHubTest"
"","1","Проверка наличия pull-request в репозитории","","Mon Jun 30 09:46:40 GMT 2025","passed","Mon Jun 30 09:46:40 GMT 2025","","tests.LabelsTest","tests.LabelsTest","staticLabelsTest"
