"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7104","annotatedStepTest()","","Fri Jun 27 09:23:34 GMT 2025","passed","Fri Jun 27 09:23:42 GMT 2025","","tests.TestForAllure","tests.TestForAllure","annotatedStepTest"
"","2","Проверка наличия pull-request в репозитории","","Fri Jun 27 09:23:42 GMT 2025","passed","Fri Jun 27 09:23:42 GMT 2025","","tests.LabelsTest","tests.LabelsTest","dynamicLabelsTest"
"","10974","easySelenideSeacrhOnGitHubTest()","","Fri Jun 27 09:23:16 GMT 2025","passed","Fri Jun 27 09:23:27 GMT 2025","","tests.TestForAllure","tests.TestForAllure","easySelenideSeacrhOnGitHubTest"
"","7484","selenideSearchOnGitHubWithLambdaStepsTest()","","Fri Jun 27 09:23:27 GMT 2025","passed","Fri Jun 27 09:23:34 GMT 2025","","tests.TestForAllure","tests.TestForAllure","selenideSearchOnGitHubWithLambdaStepsTest"
"","1","Проверка наличия pull-request в репозитории","","Fri Jun 27 09:23:42 GMT 2025","passed","Fri Jun 27 09:23:42 GMT 2025","","tests.LabelsTest","tests.LabelsTest","staticLabelsTest"
"","7316","annotatedAttachmentsTest()","","Fri Jun 27 09:23:42 GMT 2025","passed","Fri Jun 27 09:23:49 GMT 2025","","tests.AttachmentStepsTests","tests.AttachmentStepsTests","annotatedAttachmentsTest"
"","7109","lambdaAttachmentsTest()","","Fri Jun 27 09:23:49 GMT 2025","passed","Fri Jun 27 09:23:56 GMT 2025","","tests.AttachmentStepsTests","tests.AttachmentStepsTests","lambdaAttachmentsTest"
