"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6992","lambdaAttachmentsTest()","","Fri Jul 04 09:24:09 GMT 2025","passed","Fri Jul 04 09:24:16 GMT 2025","","tests.AttachmentStepsTests","tests.AttachmentStepsTests","lambdaAttachmentsTest"
"","7349","selenideSearchOnGitHubWithLambdaStepsTest()","","Fri Jul 04 09:23:48 GMT 2025","passed","Fri Jul 04 09:23:55 GMT 2025","","tests.TestForAllure","tests.TestForAllure","selenideSearchOnGitHubWithLambdaStepsTest"
"","3","Проверка наличия pull-request в репозитории","","Fri Jul 04 09:24:02 GMT 2025","passed","Fri Jul 04 09:24:02 GMT 2025","","tests.LabelsTest","tests.LabelsTest","dynamicLabelsTest"
"","2","Проверка наличия pull-request в репозитории","","Fri Jul 04 09:24:02 GMT 2025","passed","Fri Jul 04 09:24:02 GMT 2025","","tests.LabelsTest","tests.LabelsTest","staticLabelsTest"
"","6994","annotatedStepTest()","","Fri Jul 04 09:23:55 GMT 2025","passed","Fri Jul 04 09:24:02 GMT 2025","","tests.TestForAllure","tests.TestForAllure","annotatedStepTest"
"","10843","easySelenideSeacrhOnGitHubTest()","","Fri Jul 04 09:23:37 GMT 2025","passed","Fri Jul 04 09:23:48 GMT 2025","","tests.TestForAllure","tests.TestForAllure","easySelenideSeacrhOnGitHubTest"
"","7233","annotatedAttachmentsTest()","","Fri Jul 04 09:24:02 GMT 2025","passed","Fri Jul 04 09:24:09 GMT 2025","","tests.AttachmentStepsTests","tests.AttachmentStepsTests","annotatedAttachmentsTest"
