"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7390","selenideSearchOnGitHubWithLambdaStepsTest()","","Sun Jun 22 15:48:27 GMT 2025","passed","Sun Jun 22 15:48:34 GMT 2025","","tests.TestForAllure","tests.TestForAllure","selenideSearchOnGitHubWithLambdaStepsTest"
"","7077","annotatedStepTest()","","Sun Jun 22 15:48:34 GMT 2025","passed","Sun Jun 22 15:48:41 GMT 2025","","tests.TestForAllure","tests.TestForAllure","annotatedStepTest"
"","10984","easySelenideSeacrhOnGitHubTest()","","Sun Jun 22 15:48:16 GMT 2025","passed","Sun Jun 22 15:48:26 GMT 2025","","tests.TestForAllure","tests.TestForAllure","easySelenideSeacrhOnGitHubTest"
"","1","Проверка наличия pull-request в репозитории","","Sun Jun 22 15:48:41 GMT 2025","passed","Sun Jun 22 15:48:41 GMT 2025","","tests.LabelsTest","tests.LabelsTest","staticLabelsTest"
"","7256","annotatedAttachmentsTest()","","Sun Jun 22 15:48:41 GMT 2025","passed","Sun Jun 22 15:48:48 GMT 2025","","tests.AttachmentStepsTests","tests.AttachmentStepsTests","annotatedAttachmentsTest"
"","7175","lambdaAttachmentsTest()","","Sun Jun 22 15:48:48 GMT 2025","passed","Sun Jun 22 15:48:56 GMT 2025","","tests.AttachmentStepsTests","tests.AttachmentStepsTests","lambdaAttachmentsTest"
"","9","Проверка наличия pull-request в репозитории","","Sun Jun 22 15:48:41 GMT 2025","passed","Sun Jun 22 15:48:41 GMT 2025","","tests.LabelsTest","tests.LabelsTest","dynamicLabelsTest"
